ID	Phylogeny	Species
GQ133881	Bacteria;Firmicutes;Limnochordia;M55-D21;;	uncultured bacterium
GQ134231	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
GQ134507	Bacteria;Firmicutes;Clostridia;Oscillospirales;;uncultured	uncultured bacterium
GQ135646	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Guggenheimella;	uncultured bacterium
GQ136705	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	uncultured bacterium
GQ157429	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Yonghaparkia	uncultured bacterium
GQ182132	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GQ182398	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GQ182590	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GQ182750	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GQ182923	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GQ225744	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. KMG-2009a
GQ246287	Bacteria;Schekmanbacteria;;;;	uncultured bacterium
GQ246360	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured bacterium
GQ246431	Bacteria;NB1-j;;;;	uncultured bacterium
GQ246453	Bacteria;NB1-j;;;;	uncultured bacterium
GQ246531	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
GQ246533	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
GQ246534	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
GQ246561	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
GQ246569	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
GQ246578	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
GQ246597	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
GQ246601	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
GQ246604	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
GQ246607	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Corallococcus exiguus
GQ246609	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
GQ259290	Bacteria;Sva0485;;;;	uncultured bacterium
GQ259299	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured bacterium
GQ259311	Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia	uncultured bacterium
GQ261306	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GQ261751	Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured	uncultured gamma proteobacterium
GQ261813	Bacteria;Sva0485;;;;	uncultured delta proteobacterium
GQ262847	Bacteria;RCP2-54;;;;	uncultured bacterium
GQ263177	Bacteria;Chloroflexi;TK10;;;	uncultured bacterium
GQ263705	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured	uncultured bacterium
GQ264117	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;	uncultured bacterium
GQ264443	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured	uncultured bacterium
GQ274073	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	uncultured gamma proteobacterium
GQ274087	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured gamma proteobacterium
GQ274157	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	uncultured gamma proteobacterium
GQ274258	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	uncultured gamma proteobacterium
GQ274282	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	uncultured gamma proteobacterium
GQ337095	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ337282	Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;	uncultured Chloroflexi bacterium
GQ337294	Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;	uncultured Chloroflexi bacterium
GQ339150	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
GQ339169	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
GQ339175	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	uncultured bacterium
GQ340111	Bacteria;Actinobacteriota;Actinobacteria;PeM15;;	uncultured bacterium
GQ340194	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GQ340235	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GQ340296	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
GQ342345	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans	uncultured delta proteobacterium
GQ342357	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured delta proteobacterium
GQ346768	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured	uncultured Alphaproteobacteria bacterium
GQ346798	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured actinobacterium
GQ346802	Bacteria;Chloroflexi;JG30-KF-CM66;;;	uncultured Chloroflexi bacterium
GQ346902	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured actinobacterium
GQ346967	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347064	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347088	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347095	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347099	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347233	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347250	Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;	uncultured Chloroflexi bacterium
GQ347350	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347371	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347417	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ347801	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured actinobacterium
GQ348397	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured actinobacterium
GQ348426	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ348450	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ348460	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured actinobacterium
GQ348489	Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Candidatus Desulfamplus	uncultured delta proteobacterium
GQ348651	Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;	uncultured Chloroflexi bacterium
GQ348679	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured	uncultured Alphaproteobacteria bacterium
GQ348788	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ349442	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ349501	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ349697	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ350237	Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;	uncultured Chloroflexi bacterium
GQ350365	Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;	uncultured Chloroflexi bacterium
GQ350737	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
GQ351173	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GQ351237	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GQ354926	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Aquimonas	uncultured Xanthomonadales bacterium
GQ355025	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured delta proteobacterium
GQ356959	Bacteria;Sva0485;;;;	uncultured bacterium
GQ356976	Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	uncultured bacterium
GQ356991	Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;uncultured	uncultured bacterium
GQ358815	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Helcobacillus	uncultured bacterium
GQ358817	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Helcobacillus	uncultured bacterium
GQ358818	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Helcobacillus	uncultured bacterium
GQ358823	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	uncultured bacterium
GQ387490	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
GQ396815	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured bacterium
GQ402673	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GQ402720	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GQ406724	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	Bacillaceae bacterium PaH1.39a
GQ433921	Bacteria;Nitrospirota;4-29-1;;;	uncultured bacterium
GQ441248	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Aquimonas	uncultured bacterium
GQ449212	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
GQ451240	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chitinibacteraceae;Deefgea	uncultured bacterium
GQ472325	Bacteria;TX1A-33;;;;	uncultured bacterium
GQ472368	Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured	uncultured bacterium
GQ472371	Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium	uncultured bacterium
GQ472375	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured	uncultured bacterium
GQ472393	Bacteria;Chloroflexi;Dehalococcoidia;MSBL5;;	uncultured bacterium
GQ472447	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
GQ472791	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Anderseniella	uncultured Alphaproteobacteria bacterium
GQ472799	Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured	uncultured Alphaproteobacteria bacterium
GQ487911	Bacteria;Actinobacteriota;WCHB1-81;;;	uncultured bacterium
GQ487953	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
GQ493539	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
GQ501090	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Candidatus Neoehrlichia	uncultured Candidatus Neoehrlichia sp.
GQ844355	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
GQ844356	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulforhabdus	uncultured bacterium
GQ864158	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. Seputih
GQ923925	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GU056068	Bacteria;Myxococcota;bacteriap25;;;	uncultured bacterium
GU059560	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Leptomonas	Trypanosomatidae sp. Ch9
GU059561	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;	Trypanosomatidae sp. Ch2
GU059564	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Blastocrithidia	Trypanosomatidae sp. Ch5
GU059569	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;	Trypanosomatidae sp. Ch10
GU059572	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;	Trypanosomatidae sp. Ch15
GU061230	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;uncultured	uncultured gamma proteobacterium
GU061237	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;uncultured	uncultured gamma proteobacterium
GU061274	Bacteria;SAR324 clade(Marine group B);;;;	uncultured proteobacterium
GU061415	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
GU075696	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Ehrlichia	uncultured Ehrlichia sp.
GU112202	Bacteria;Firmicutes;Clostridia;Oscillospirales;;uncultured	uncultured Firmicutes bacterium
GU118032	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GU118131	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Roseitalea	uncultured bacterium
GU118143	Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured	uncultured bacterium
GU118189	Bacteria;NB1-j;;;;	uncultured bacterium
GU118491	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;	uncultured bacterium
GU118606	Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;;uncultured	uncultured bacterium
GU120586	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	uncultured Clostridium sp.
GU120610	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured delta proteobacterium
GU127024	Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;;uncultured	uncultured bacterium
GU127066	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GU127067	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GU127068	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GU127069	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GU127071	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GU127731	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
GU127733	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GU127734	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GU139148	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Corallococcus macrosporus
GU139151	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Corallococcus macrosporus
GU139152	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
GU139153	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
GU139154	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
GU145404	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GU145517	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GU180161	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
GU180163	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured	uncultured bacterium
GU197434	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	uncultured gamma proteobacterium
GU197446	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Leucothrix	uncultured bacterium
GU197473	Bacteria;Myxococcota;Polyangia;VHS-B3-70;;	uncultured bacterium
GU202953	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured Syntrophobacter sp.
GU207872	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Archangium	Archangium gephyra
GU207873	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Angiococcus	Archangium disciforme
GU207877	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Melittangium lichenicola
GU207878	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Nannocystis	Nannocystis pusilla
GU207882	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Stigmatella	Stigmatella aurantiaca
GU208266	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured prokaryote
GU208322	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured prokaryote
GU208360	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured prokaryote
GU208365	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured prokaryote
GU208383	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured prokaryote
GU208388	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured	uncultured prokaryote
GU208398	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured prokaryote
GU208404	Bacteria;Sva0485;;;;	uncultured prokaryote
GU208481	Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	uncultured prokaryote
GU214165	Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus	uncultured delta proteobacterium
GU230386	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade	uncultured delta proteobacterium
GU230399	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured delta proteobacterium
GU230600	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	Cyclohexane degrading bacterium enrichment culture clone type I
GU235074	Bacteria;SAR324 clade(Marine group B);;;;	uncultured marine bacterium
GU235112	Bacteria;SAR324 clade(Marine group B);;;;	uncultured marine bacterium
GU235300	Bacteria;SAR324 clade(Marine group B);;;;	uncultured marine bacterium
GU235581	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;uncultured	uncultured marine bacterium
GU235586	Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella	uncultured marine bacterium
GU247467	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	uncultured bacterium
GU290113	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;	uncultured eukaryote
GU305731	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GU305747	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GU305755	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GU305761	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GU305782	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
GU305787	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Rhodoluna	uncultured bacterium
GU323922	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus sp. MX1
GU362959	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured bacterium
GU363004	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula	uncultured bacterium
GU363042	Bacteria;Actinobacteriota;WCHB1-81;;;	uncultured bacterium
GU369931	Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured	uncultured Alphaproteobacteria bacterium
GU370092	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	Clostridium sp. P410(2)
GU370098	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	Clostridium sp. P530(3)
GU389673	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	uncultured bacterium
GU389854	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
GU444084	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
GU444087	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
GU454985	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Guggenheimella;	uncultured bacterium
GU454996	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	uncultured bacterium
GU455009	Bacteria;Firmicutes;Clostridia;Clostridiales;;uncultured	uncultured bacterium
GU455029	Bacteria;Firmicutes;Clostridia;Clostridiales;;uncultured	uncultured bacterium
GU455046	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Guggenheimella;	uncultured bacterium
GU455051	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	uncultured bacterium
GU455053	Bacteria;Firmicutes;Clostridia;Clostridiales;;uncultured	uncultured bacterium
GU455086	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	uncultured bacterium
GU455087	Bacteria;Firmicutes;Clostridia;Clostridiales;;uncultured	uncultured bacterium
GU455108	Bacteria;Firmicutes;Clostridia;Clostridiales;;uncultured	uncultured bacterium
GU455128	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;	uncultured bacterium
GU455135	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	uncultured bacterium
GU455147	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	uncultured bacterium
GU455150	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;uncultured	uncultured bacterium
GU455210	Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;	uncultured bacterium
GU455223	Bacteria;Firmicutes;Clostridia;Proteinivoracales;;uncultured	uncultured bacterium
GU472708	Bacteria;Actinobacteriota;WCHB1-81;;;	uncultured bacterium
GU474869	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium HF0130 19C20
GU474883	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium HF0200 39N20
GU476609	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	bacterium enrichment culture clone BBMC-9
GU479649	Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eimeriorina;Goussia	Eimeria leucisci
GU479651	Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eimeriorina;	Goussia pannonica
GU479656	Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eimeriorina;Goussia	Goussia szekelyi
GU553705	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GU567972	Bacteria;NB1-j;;;;	uncultured myxobacterium HF0200 01L06
GU583974	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GU583984	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
GU584356	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured bacterium
GU584658	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured bacterium
GU591502	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured bacterium
GU598900	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured soil bacterium
GU731342	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	bacterium enrichment culture clone auto112 4W
GU819890	Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales Group I;;	uncultured dinoflagellate
GU820024	Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Protoperidinium	uncultured dinoflagellate
GU820828	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Neobodo	uncultured euglenozoan
GU940823	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
GU940962	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
GU941053	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
HE575386	Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45	uncultured Thermomicrobia bacterium
HE582768	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Angiococcus	Archangium disciforme
